run_id,random_seed,solo.fusion_policy,vehicle_id,collided,severity,collision_time,min_speed_mph,final_speed_mph
110,27,confidence_weighted,solo,True,serious,7.499999999999989,0.0,0.0
111,27,plausibility_filtered,solo,False,,,0.0,43.84
112,28,camera_priority,solo,False,,,0.0,43.84
113,28,majority_vote,solo,False,,,0.0,43.84
114,28,confidence_weighted,solo,True,serious,7.499999999999989,0.0,0.0
115,28,plausibility_filtered,solo,False,,,0.0,43.84
116,29,camera_priority,solo,False,,,0.0,43.84
117,29,majority_vote,solo,False,,,0.0,43.84
118,29,confidence_weighted,solo,True,serious,7.499999999999989,0.0,0.0
119,29,plausibility_filtered,solo,False,,,0.0,43.84
