run_id,random_seed,vehicle_id,collided,severity,collision_time,min_speed_mph,final_speed_mph
7,7,spawned_6,False,,,20.0,20.0
7,7,spawned_7,False,,,20.0,20.0
8,8,solo,False,,,3.48,17.3
8,8,spawned_1,False,,,6.91,10.05
8,8,spawned_2,False,,,11.28,13.51
8,8,spawned_3,False,,,20.0,20.0
8,8,spawned_4,False,,,20.0,20.0
8,8,spawned_5,False,,,20.0,20.0
8,8,spawned_6,False,,,20.0,20.0
8,8,spawned_7,False,,,20.0,20.0
9,9,solo,False,,,0.0,30.0
9,9,spawned_1,False,,,6.91,10.05
9,9,spawned_2,False,,,20.0,20.0
9,9,spawned_3,False,,,20.0,20.0
9,9,spawned_4,False,,,20.0,20.0
9,9,spawned_5,False,,,20.0,20.0
9,9,spawned_6,False,,,20.0,20.0
9,9,spawned_7,False,,,20.0,20.0
10,10,solo,False,,,0.0,20.04
10,10,spawned_1,False,,,20.0,20.0
10,10,spawned_2,False,,,20.0,20.0
10,10,spawned_3,False,,,20.0,20.0
10,10,spawned_4,False,,,20.0,20.0
10,10,spawned_5,False,,,20.0,20.0
10,10,spawned_6,False,,,20.0,20.0
10,10,spawned_7,False,,,20.0,20.0
11,11,solo,False,,,7.04,30.0
11,11,spawned_1,False,,,20.0,20.0
11,11,spawned_2,False,,,20.0,20.0
11,11,spawned_3,False,,,20.0,20.0
11,11,spawned_4,False,,,20.0,20.0
11,11,spawned_5,False,,,20.0,20.0
11,11,spawned_6,False,,,20.0,20.0
11,11,spawned_7,False,,,20.0,20.0
12,12,solo,False,,,3.48,17.3
12,12,spawned_1,False,,,20.0,20.0
12,12,spawned_2,False,,,11.28,13.51
12,12,spawned_3,False,,,20.0,20.0
12,12,spawned_4,False,,,19.94,20.0
12,12,spawned_5,False,,,20.0,20.0
12,12,spawned_6,False,,,20.0,20.0
12,12,spawned_7,False,,,20.0,20.0
13,13,solo,False,,,3.48,17.3
13,13,spawned_1,False,,,20.0,20.0
13,13,spawned_2,False,,,11.28,13.51
13,13,spawned_3,False,,,20.0,20.0
13,13,spawned_4,False,,,20.0,20.0
13,13,spawned_5,False,,,20.0,20.0
13,13,spawned_6,False,,,20.0,20.0
13,13,spawned_7,False,,,20.0,20.0
14,14,solo,False,,,3.48,17.3
14,14,spawned_1,False,,,20.0,20.0
14,14,spawned_2,False,,,11.28,13.51
14,14,spawned_3,False,,,20.0,20.0
14,14,spawned_4,False,,,19.94,20.0
14,14,spawned_5,False,,,20.0,20.0
14,14,spawned_6,False,,,20.0,20.0
14,14,spawned_7,False,,,20.0,20.0
15,15,solo,False,,,3.48,17.3
15,15,spawned_1,False,,,20.0,20.0
15,15,spawned_2,False,,,11.28,13.51
15,15,spawned_3,False,,,20.0,20.0
15,15,spawned_4,False,,,20.0,20.0
15,15,spawned_5,False,,,20.0,20.0
15,15,spawned_6,False,,,20.0,20.0
15,15,spawned_7,False,,,20.0,20.0
16,16,solo,False,,,0.0,22.82
16,16,spawned_1,False,,,6.91,10.05
16,16,spawned_2,False,,,20.0,20.0
16,16,spawned_3,False,,,20.0,20.0
16,16,spawned_4,False,,,20.0,20.0
16,16,spawned_5,False,,,20.0,20.0
16,16,spawned_6,False,,,20.0,20.0
16,16,spawned_7,False,,,20.0,20.0
17,17,solo,False,,,7.04,30.0
17,17,spawned_1,False,,,20.0,20.0
17,17,spawned_2,False,,,20.0,20.0
17,17,spawned_3,False,,,20.0,20.0
17,17,spawned_4,False,,,20.0,20.0
17,17,spawned_5,False,,,20.0,20.0
17,17,spawned_6,False,,,20.0,20.0
17,17,spawned_7,False,,,20.0,20.0
18,18,solo,False,,,3.48,17.3
18,18,spawned_1,False,,,6.91,10.05
18,18,spawned_2,False,,,11.28,13.51
18,18,spawned_3,False,,,20.0,20.0
18,18,spawned_4,False,,,20.0,20.0
18,18,spawned_5,False,,,20.0,20.0
18,18,spawned_6,False,,,20.0,20.0
18,18,spawned_7,False,,,20.0,20.0
19,19,solo,False,,,0.0,20.04
19,19,spawned_1,False,,,20.0,20.0
19,19,spawned_2,False,,,20.0,20.0
19,19,spawned_3,False,,,20.0,20.0
19,19,spawned_4,False,,,20.0,20.0
19,19,spawned_5,False,,,20.0,20.0
19,19,spawned_6,False,,,20.0,20.0
19,19,spawned_7,False,,,20.0,20.0
20,20,solo,False,,,0.0,20.04
20,20,spawned_1,False,,,20.0,20.0
20,20,spawned_2,False,,,20.0,20.0
20,20,spawned_3,False,,,20.0,20.0
20,20,spawned_4,False,,,20.0,20.0
20,20,spawned_5,False,,,20.0,20.0
20,20,spawned_6,False,,,20.0,20.0
20,20,spawned_7,False,,,20.0,20.0
21,21,solo,False,,,0.0,20.04
21,21,spawned_1,False,,,20.0,20.0
